Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$VInfl_macrocat_postposed$VInflTAM.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_postposed$VInflValence.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflClassification.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflEvidential.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflInter_clausal.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflNP_related.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflNumber.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflOperators.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflPerson.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflPragmatic.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflPragmatics.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflRole.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflTAM.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocat_preposed$VInflValence.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VInfl_macrocategories$VInflClassification.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflEvidential.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflInter_clausal.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflNP_related.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflNumber.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflOperators.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflPerson.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflPragmatic.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflPragmatics.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflRole.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflTAM.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$VInfl_macrocategories$VInflValence.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Word_domains$CoherentEnclEnclBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentEncliticBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentPrefixBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentPrefixPrefixBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentPrefixStemBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentProclBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentProclPrefixBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentProclProcliticBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentProclStemBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentStemBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentStemEnclBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentStemEndoclBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentStemInfixBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentStemSuffixBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentSuffixBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentSuffixEnclBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$CoherentSuffixSuffixBoundary.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohDomain,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohDomain.binned77,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohDomain.multistem.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohDomain.n,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohDomain.prop,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohPrefixDomain.n,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohPrefixDomain.prop,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohPrefixDomain.prop.binned3,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohStemDomain.prop,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohStemDomain.prop.binned3,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohSuffixDomain.n,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohSuffixDomain.prop,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Word_domains$MphmTypesInCohSuffixDomain.prop.binned3,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
PHOIBLE$advancedTongueRoot_count,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$advancedTongueRoot_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$affricates_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$affricates_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$anterior_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$anterior_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$approximant_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$approximant_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$aspirated.fricatives_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$aspirated.fricatives_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$back_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$back_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$click_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$click_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$consonantal_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$consonantal_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$constrictedGlottis_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$constrictedGlottis_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$continuant_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$continuant_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$coronal_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$coronal_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$creaky.breathy_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$creaky.breathy_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$delayedRelease_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$delayedRelease_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$distributed_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$distributed_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$dorsal_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$dorsal_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$epilaryngealSource_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$epilaryngealSource_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$fortis_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$fortis_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$fricatives_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$fricatives_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$front_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$front_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$glides_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$glides_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$high_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$high_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$labial_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$labial_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$labiodental_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$labiodental_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$lateral_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$lateral_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$liquids_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$liquids_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$liquids.glides_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$liquids.glides_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$liquids.glides.nasals_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$liquids.glides.nasals_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$long_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$long_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$long.vowels_count,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$long.vowels_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$low_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$low_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$loweredLarynxImplosive_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$loweredLarynxImplosive_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$nasal_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$nasal_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$nasalized.vowels_count,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$nasalized.vowels_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$nasals_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$nasals_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$periodicGlottalSource_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$periodicGlottalSource_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$raisedLarynxEjective_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$raisedLarynxEjective_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$retractedTongueRoot_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$retractedTongueRoot_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$round_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$round_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$short_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$short_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$sonorant_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$sonorant_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$spreadGlottis_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$spreadGlottis_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$stops_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$stops_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$stops.affricates_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$stops.affricates_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$stress_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,
PHOIBLE$stress_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,
PHOIBLE$strident_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$strident_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$syllabic_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$syllabic_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$tap_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$tap_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$tense_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$tense_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$tone_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,
PHOIBLE$tone_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,
PHOIBLE$trill_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$trill_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$velar.nasals_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$velar.nasals_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$voiceless.stops_count,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,
PHOIBLE$voiceless.stops_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$voiceless.vowels_count,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$voiceless.vowels_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$vowels_count,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$vowels_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,
PHOIBLE$vowels.syllabic.consonants_count,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
PHOIBLE$vowels.syllabic.consonants_presence,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
WALS$101A Expression of Pronominal Subjects,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Simple Clauses
WALS$102A Verbal Person Marking,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Simple Clauses
WALS$103A Third Person Zero of Verbal Person Marking,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Simple Clauses
WALS$104A Order of Person Markers on the Verb,Grammar,Syntax,Grammar,Morphology,Morphology,Morphology,Morphology,Simple Clauses
WALS$105A Ditransitive Constructions: The Verb 'Give',Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
WALS$106A Reciprocal Constructions,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Simple Clauses
WALS$107A Passive Constructions,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Simple Clauses
WALS$108A Antipassive Constructions,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Simple Clauses
WALS$109A Applicative Constructions,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Simple Clauses
WALS$10A Vowel Nasalization,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,Phonology
WALS$110A Periphrastic Causative Constructions,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Simple Clauses
WALS$111A Nonperiphrastic Causative Constructions,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Simple Clauses
WALS$112A Negative Morphemes,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Simple Clauses
WALS$115A Negative Indefinite Pronouns and Predicate Negation,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Simple Clauses
WALS$116A Polar Questions,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Simple Clauses
WALS$117A Predicative Possession,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Simple Clauses
WALS$118A Predicative Adjectives,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Simple Clauses
WALS$119A Nominal and Locational Predication,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Simple Clauses
WALS$11A Front Rounded Vowels,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,Phonology
WALS$120A Zero Copula for Predicate Nominals,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Simple Clauses
WALS$121A Comparative Constructions,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Simple Clauses
WALS$122A Relativization on Subjects,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Complex Sentences
WALS$123A Relativization on Obliques,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Complex Sentences
WALS$124A 'Want' Complement Subjects,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
WALS$125A Purpose Clauses,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Complex Sentences
WALS$126A 'When' Clauses,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
WALS$127A Reason Clauses,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Complex Sentences
WALS$128A Utterance Complement Clauses,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Complex Sentences
WALS$129A Hand and Arm,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Lexicon
WALS$12A Syllable Structure,Grammar,Phonotatics,Grammar,Phonotatics,Phonotatics,Phonotatics,Phonotatics,Phonology
WALS$130A Finger and Hand,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Lexicon
WALS$131A Numeral Bases,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Lexicon
WALS$136A M-T Pronouns,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Lexicon
WALS$13A Tone,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,Phonology
WALS$14A Fixed Stress Locations,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,Phonology
WALS$17A Rhythm Types,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,Phonology
WALS$19A Presence of Uncommon Consonants,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,Phonology
WALS$1A Consonant Inventories,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,Phonology
WALS$26A Prefixing vs. Suffixing in Inflectional Morphology,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Morphology
WALS$27A Reduplication,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Morphology
WALS$28A Case Syncretism,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Morphology
WALS$29A Syncretism in Verbal Person/Number Marking,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Morphology
WALS$2A Vowel Quality Inventories,Phonology,Phonology,Phonology,Phonology,Phonology,Vocalic,Segmental,Phonology
WALS$30A Number of Genders,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$31A Sex-based and Non-sex-based Gender Systems,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$32A Systems of Gender Assignment,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$33A Coding of Nominal Plurality,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$34A Occurrence of Nominal Plurality,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$35A Plurality in Independent Personal Pronouns,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$36A The Associative Plural,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$37A Definite Articles,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$38A Indefinite Articles,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$39A Inclusive/Exclusive Distinction in Independent Pronouns,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$3A Consonant-Vowel Ratio,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,Phonology
WALS$40A Inclusive/Exclusive Distinction in Verbal Inflection,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$41A Distance Contrasts in Demonstratives,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$42A Pronominal and Adnominal Demonstratives,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Nominal Categories
WALS$44A Gender Distinctions in Independent Personal Pronouns,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$45A Politeness Distinctions in Pronouns,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$46A Indefinite Pronouns,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$47A Intensifiers and Reflexive Pronouns,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$48A Person Marking on Adpositions,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Nominal Categories
WALS$49A Number of Cases,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Nominal Categories
WALS$4A Voicing in Plosives and Fricatives,Phonology,Phonology,Phonology,Phonology,Phonology,Consonantal,Segmental,Phonology
WALS$51A Position of Case Affixes,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Nominal Categories
WALS$52A Comitatives and Instrumentals,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$53A Ordinal Numerals,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$54A Distributive Numerals,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$55A Numeral Classifiers,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Nominal Categories
WALS$56A Conjunctions and Universal Quantifiers,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,Nominal Categories
WALS$57A Position of Pronominal Possessive Affixes,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,Nominal Categories
"WALS$60A Genitives, Adjectives and Relative Clauses",Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,Nominal Syntax
WALS$61A Adjectives without Nouns,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Nominal Syntax
WALS$62A Action Nominal Constructions,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,Nominal Syntax
