Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$Grammatical_markers$OppositionWithZero.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$PersonPortmanteau.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Placement,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Polyexponence.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Position.post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Position.pre.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Position.pre.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Position.simul.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Position.simul.Presence.v2,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Slot,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$SourceOfMarking,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
